driver_id,first_name,last_name,nationality,dob,url
banks,Henry,Banks,American,1913-06-14,http://en.wikipedia.org/wiki/Henry_Banks
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bira,Prince,Bira,Thai,1914-07-15,http://en.wikipedia.org/wiki/Prince_Bira
bonetto,Felice,Bonetto,Italian,1903-06-09,http://en.wikipedia.org/wiki/Felice_Bonetto
branca,Toni,Branca,Swiss,1916-09-15,http://en.wikipedia.org/wiki/Toni_Branca
walt_brown,Walt,Brown,American,1911-12-30,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer)
cabantous,Yves,Cabantous,French,1904-10-08,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
chaboud,Eugène,Chaboud,French,1907-04-12,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
claes,Johnny,Claes,Belgian,1916-08-11,http://en.wikipedia.org/wiki/Johnny_Claes
george_connor,George,Connor,American,1906-08-16,http://en.wikipedia.org/wiki/George_Connor_(driver)
davies,Jimmy,Davies,American,1929-08-08,http://en.wikipedia.org/wiki/Jimmy_Davies
graffenried,Toulo,de Graffenried,Swiss,1914-05-18,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
dinsmore,Duke,Dinsmore,American,1913-04-10,http://en.wikipedia.org/wiki/Duke_Dinsmore
etancelin,Philippe,Étancelin,French,1896-12-28,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin
fagioli,Luigi,Fagioli,Italian,1898-06-09,http://en.wikipedia.org/wiki/Luigi_Fagioli
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
farina,Nino,Farina,Italian,1906-10-30,http://en.wikipedia.org/wiki/Nino_Farina
faulkner,Walt,Faulkner,American,1920-02-16,http://en.wikipedia.org/wiki/Walt_Faulkner
fischer,Rudi,Fischer,Swiss,1912-04-19,http://en.wikipedia.org/wiki/Rudi_Fischer
forberg,Carl,Forberg,American,1911-03-04,http://en.wikipedia.org/wiki/Carl_Forberg
force,Gene,Force,American,1916-06-15,http://en.wikipedia.org/wiki/Gene_Force
parker,Philip,Fotheringham-Parker,British,1907-09-22,http://en.wikipedia.org/wiki/Philip_Fotheringham-Parker
gerard,Bob,Gerard,British,1914-01-19,http://en.wikipedia.org/wiki/Bob_Gerard
abecassis,George,Abecassis,British,1913-03-21,http://en.wikipedia.org/wiki/George_Abecassis
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
aston,Bill,Aston,British,1900-03-29,http://en.wikipedia.org/wiki/Bill_Aston
ayulo,Manny,Ayulo,American,1921-10-20,http://en.wikipedia.org/wiki/Manny_Ayulo
ball,Bobby,Ball,American,1925-08-26,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer)
balsa,Marcel,Balsa,French,1909-01-01,http://en.wikipedia.org/wiki/Marcel_Balsa
banks,Henry,Banks,American,1913-06-14,http://en.wikipedia.org/wiki/Henry_Banks
bayol,Élie,Bayol,French,1914-02-28,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
bechem,Günther,Bechem,German,1921-12-21,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bianco,Gino,Bianco,Brazilian,1916-07-22,http://en.wikipedia.org/wiki/Gino_Bianco
bira,Prince,Bira,Thai,1914-07-15,http://en.wikipedia.org/wiki/Prince_Bira
bonetto,Felice,Bonetto,Italian,1903-06-09,http://en.wikipedia.org/wiki/Felice_Bonetto
brandon,Eric,Brandon,British,1920-07-18,http://en.wikipedia.org/wiki/Eric_Brandon
alan_brown,Alan,Brown,British,1919-11-20,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver)
brudes,Adolf,Brudes,German,1899-10-15,http://en.wikipedia.org/wiki/Adolf_Brudes
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
cabantous,Yves,Cabantous,French,1904-10-08,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
cantoni,Eitel,Cantoni,Uruguayan,1906-10-04,http://en.wikipedia.org/wiki/Eitel_Cantoni
carini,Piero,Carini,Italian,1921-03-06,http://en.wikipedia.org/wiki/Piero_Carini
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
claes,Johnny,Claes,Belgian,1916-08-11,http://en.wikipedia.org/wiki/Johnny_Claes
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
comotti,Franco,Comotti,Italian,1906-07-24,http://en.wikipedia.org/wiki/Franco_Comotti
george_connor,George,Connor,American,1906-08-16,http://en.wikipedia.org/wiki/George_Connor_(driver)
crespo,Alberto,Crespo,Argentine,1920-01-16,http://en.wikipedia.org/wiki/Alberto_Crespo
crook,Tony,Crook,British,1920-02-16,http://en.wikipedia.org/wiki/Tony_Crook
cross,Art,Cross,American,1918-01-24,http://en.wikipedia.org/wiki/Art_Cross
adolff,Kurt,Adolff,German,1921-11-05,http://en.wikipedia.org/wiki/Kurt_Adolff
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
ayulo,Manny,Ayulo,American,1921-10-20,http://en.wikipedia.org/wiki/Manny_Ayulo
john_barber,John,Barber,British,1929-07-22,http://en.wikipedia.org/wiki/John_Barber_(racing_driver)
barth,Edgar,Barth,German,1917-01-26,http://en.wikipedia.org/wiki/Edgar_Barth
bauer,Erwin,Bauer,German,1912-07-17,http://en.wikipedia.org/wiki/Erwin_Bauer
bayol,Élie,Bayol,French,1914-02-28,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
bechem,Günther,Bechem,German,1921-12-21,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
georges_berger,Georges,Berger,Belgian,1918-09-14,http://en.wikipedia.org/wiki/Georges_Berger
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bira,Prince,Bira,Thai,1914-07-15,http://en.wikipedia.org/wiki/Prince_Bira
birger,Pablo,Birger,Argentine,1924-01-07,http://en.wikipedia.org/wiki/Pablo_Birger
bonetto,Felice,Bonetto,Italian,1903-06-09,http://en.wikipedia.org/wiki/Felice_Bonetto
alan_brown,Alan,Brown,British,1919-11-20,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver)
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
cabantous,Yves,Cabantous,French,1904-10-08,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
carini,Piero,Carini,Italian,1921-03-06,http://en.wikipedia.org/wiki/Piero_Carini
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
claes,Johnny,Claes,Belgian,1916-08-11,http://en.wikipedia.org/wiki/Johnny_Claes
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
crook,Tony,Crook,British,1920-02-16,http://en.wikipedia.org/wiki/Tony_Crook
cross,Art,Cross,American,1918-01-24,http://en.wikipedia.org/wiki/Art_Cross
cruz,Adolfo,Cruz,Argentine,1923-06-28,http://en.wikipedia.org/wiki/Adolfo_Schewelm_Cruz
davies,Jimmy,Davies,American,1929-08-08,http://en.wikipedia.org/wiki/Jimmy_Davies
daywalt,Jimmy,Daywalt,American,1924-08-28,http://en.wikipedia.org/wiki/Jimmy_Daywalt
graffenried,Toulo,de Graffenried,Swiss,1914-05-18,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
terra,Max,de Terra,Swiss,1918-10-06,http://en.wikipedia.org/wiki/Max_de_Terra
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
armi,Frank,Armi,American,1918-10-12,http://en.wikipedia.org/wiki/Frank_Armi
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
ayulo,Manny,Ayulo,American,1921-10-20,http://en.wikipedia.org/wiki/Manny_Ayulo
bayol,Élie,Bayol,French,1914-02-28,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
beauman,Don,Beauman,British,1928-07-26,http://en.wikipedia.org/wiki/Don_Beauman
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
georges_berger,Georges,Berger,Belgian,1918-09-14,http://en.wikipedia.org/wiki/Georges_Berger
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bira,Prince,Bira,Thai,1914-07-15,http://en.wikipedia.org/wiki/Prince_Bira
brandon,Eric,Brandon,British,1920-07-18,http://en.wikipedia.org/wiki/Eric_Brandon
alan_brown,Alan,Brown,British,1919-11-20,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver)
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
bucci,Clemar,Bucci,Argentine,1920-09-04,http://en.wikipedia.org/wiki/Clemar_Bucci
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
crockett,Larry,Crockett,American,1926-10-23,http://en.wikipedia.org/wiki/Larry_Crockett
cross,Art,Cross,American,1918-01-24,http://en.wikipedia.org/wiki/Art_Cross
daponte,Jorge,Daponte,Argentine,1923-06-05,http://en.wikipedia.org/wiki/Jorge_Daponte
davies,Jimmy,Davies,American,1929-08-08,http://en.wikipedia.org/wiki/Jimmy_Davies
daywalt,Jimmy,Daywalt,American,1924-08-28,http://en.wikipedia.org/wiki/Jimmy_Daywalt
graffenried,Toulo,de Graffenried,Swiss,1914-05-18,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
riu,Giovanni,de Riu,Italian,1925-03-10,http://en.wikipedia.org/wiki/Giovanni_de_Riu
duncan,Len,Duncan,American,1911-07-25,http://en.wikipedia.org/wiki/Len_Duncan
elisian,Ed,Elisian,American,1926-12-09,http://en.wikipedia.org/wiki/Ed_Elisian
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
farina,Nino,Farina,Italian,1906-10-30,http://en.wikipedia.org/wiki/Nino_Farina
faulkner,Walt,Faulkner,American,1920-02-16,http://en.wikipedia.org/wiki/Walt_Faulkner
flaherty,Pat,Flaherty,American,1926-01-06,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
flockhart,Ron,Flockhart,British,1923-06-16,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
andrews,Keith,Andrews,American,1920-06-15,http://en.wikipedia.org/wiki/Keith_Andrews_(driver)
ascari,Alberto,Ascari,Italian,1918-07-13,http://en.wikipedia.org/wiki/Alberto_Ascari
bayol,Élie,Bayol,French,1914-02-28,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
birger,Pablo,Birger,Argentine,1924-01-07,http://en.wikipedia.org/wiki/Pablo_Birger
boyd,Johnny,Boyd,American,1926-08-19,http://en.wikipedia.org/wiki/Johnny_Boyd
jack_brabham,Jack,Brabham,Australian,1926-04-02,http://en.wikipedia.org/wiki/Jack_Brabham
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
bucci,Clemar,Bucci,Argentine,1920-09-04,http://en.wikipedia.org/wiki/Clemar_Bucci
darter,Duane,Carter,American,1913-05-05,http://en.wikipedia.org/wiki/Duane_Carter
castellotti,Eugenio,Castellotti,Italian,1930-10-10,http://en.wikipedia.org/wiki/Eugenio_Castellotti
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
claes,Johnny,Claes,Belgian,1916-08-11,http://en.wikipedia.org/wiki/Johnny_Claes
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
ray_crawford,Ray,Crawford,American,1915-10-26,http://en.wikipedia.org/wiki/Ray_Crawford
cross,Art,Cross,American,1918-01-24,http://en.wikipedia.org/wiki/Art_Cross
ramos,Hernando,da Silva Ramos,Brazilian,1925-12-07,http://en.wikipedia.org/wiki/Hernando_da_Silva_Ramos
davies,Jimmy,Davies,American,1929-08-08,http://en.wikipedia.org/wiki/Jimmy_Davies
daywalt,Jimmy,Daywalt,American,1924-08-28,http://en.wikipedia.org/wiki/Jimmy_Daywalt
elisian,Ed,Elisian,American,1926-12-09,http://en.wikipedia.org/wiki/Ed_Elisian
fairman,Jack,Fairman,British,1913-03-15,http://en.wikipedia.org/wiki/Jack_Fairman
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
farina,Nino,Farina,Italian,1906-10-30,http://en.wikipedia.org/wiki/Nino_Farina
faulkner,Walt,Faulkner,American,1920-02-16,http://en.wikipedia.org/wiki/Walt_Faulkner
fitch,John,Fitch,American,1917-08-04,http://en.wikipedia.org/wiki/John_Fitch_(driver)
flaherty,Pat,Flaherty,American,1926-01-06,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
freeland,Don,Freeland,American,1925-03-25,http://en.wikipedia.org/wiki/Don_Freeland
frere,Paul,Frère,Belgian,1917-01-30,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
andrews,Keith,Andrews,American,1920-06-15,http://en.wikipedia.org/wiki/Keith_Andrews_(driver)
bayol,Élie,Bayol,French,1914-02-28,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bonnier,Jo,Bonnier,Swedish,1930-01-31,http://en.wikipedia.org/wiki/Joakim_Bonnier
boyd,Johnny,Boyd,American,1926-08-19,http://en.wikipedia.org/wiki/Johnny_Boyd
jack_brabham,Jack,Brabham,Australian,1926-04-02,http://en.wikipedia.org/wiki/Jack_Brabham
brooks,Tony,Brooks,British,1932-02-25,http://en.wikipedia.org/wiki/Tony_Brooks
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
castellotti,Eugenio,Castellotti,Italian,1930-10-10,http://en.wikipedia.org/wiki/Eugenio_Castellotti
chapman,Colin,Chapman,British,1928-05-19,http://en.wikipedia.org/wiki/Colin_Chapman
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
christie,Bob,Christie,American,1924-04-04,http://en.wikipedia.org/wiki/Bob_Christie_(racing_driver)
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
ray_crawford,Ray,Crawford,American,1915-10-26,http://en.wikipedia.org/wiki/Ray_Crawford
ramos,Hernando,da Silva Ramos,Brazilian,1925-12-07,http://en.wikipedia.org/wiki/Hernando_da_Silva_Ramos
daywalt,Jimmy,Daywalt,American,1924-08-28,http://en.wikipedia.org/wiki/Jimmy_Daywalt
graffenried,Toulo,de Graffenried,Swiss,1914-05-18,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
portago,Alfonso,de Portago,Spanish,1928-10-11,http://en.wikipedia.org/wiki/Alfonso_de_Portago
dinsmore,Duke,Dinsmore,American,1913-04-10,http://en.wikipedia.org/wiki/Duke_Dinsmore
elisian,Ed,Elisian,American,1926-12-09,http://en.wikipedia.org/wiki/Ed_Elisian
emery,Paul,Emery,British,1916-11-12,http://en.wikipedia.org/wiki/Paul_Emery
fairman,Jack,Fairman,British,1913-03-15,http://en.wikipedia.org/wiki/Jack_Fairman
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
flaherty,Pat,Flaherty,American,1926-01-06,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver)
flockhart,Ron,Flockhart,British,1923-06-16,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
freeland,Don,Freeland,American,1925-03-25,http://en.wikipedia.org/wiki/Don_Freeland
frere,Paul,Frère,Belgian,1917-01-30,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re
garrett,Billy,Garrett,American,1933-04-24,http://en.wikipedia.org/wiki/Billy_Garrett
agabashian,Fred,Agabashian,American,1913-08-21,http://en.wikipedia.org/wiki/Fred_Agabashian
barth,Edgar,Barth,German,1917-01-26,http://en.wikipedia.org/wiki/Edgar_Barth
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bonnier,Jo,Bonnier,Swedish,1930-01-31,http://en.wikipedia.org/wiki/Joakim_Bonnier
boyd,Johnny,Boyd,American,1926-08-19,http://en.wikipedia.org/wiki/Johnny_Boyd
jack_brabham,Jack,Brabham,Australian,1926-04-02,http://en.wikipedia.org/wiki/Jack_Brabham
brooks,Tony,Brooks,British,1932-02-25,http://en.wikipedia.org/wiki/Tony_Brooks
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
bueb,Ivor,Bueb,British,1923-06-06,http://en.wikipedia.org/wiki/Ivor_Bueb
castellotti,Eugenio,Castellotti,Italian,1930-10-10,http://en.wikipedia.org/wiki/Eugenio_Castellotti
cheesbourg,Bill,Cheesbourg,American,1927-06-12,http://en.wikipedia.org/wiki/Bill_Cheesbourg
christie,Bob,Christie,American,1924-04-04,http://en.wikipedia.org/wiki/Bob_Christie_(racing_driver)
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
daywalt,Jimmy,Daywalt,American,1924-08-28,http://en.wikipedia.org/wiki/Jimmy_Daywalt
beaufort,Carel Godin,de Beaufort,Dutch,1934-04-10,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort
portago,Alfonso,de Portago,Spanish,1928-10-11,http://en.wikipedia.org/wiki/Alfonso_de_Portago
tomaso,Alessandro,de Tomaso,Argentine-Italian,1928-07-10,http://en.wikipedia.org/wiki/Alessandro_de_Tomaso
edmunds,Don,Edmunds,American,1930-09-23,http://en.wikipedia.org/wiki/Don_Edmunds
elisian,Ed,Elisian,American,1926-12-09,http://en.wikipedia.org/wiki/Ed_Elisian
england,Paul,England,Australian,1929-03-28,http://en.wikipedia.org/wiki/Paul_England
fairman,Jack,Fairman,British,1913-03-15,http://en.wikipedia.org/wiki/Jack_Fairman
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
flockhart,Ron,Flockhart,British,1923-06-16,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
freeland,Don,Freeland,American,1925-03-25,http://en.wikipedia.org/wiki/Don_Freeland
george,Elmer,George,American,1928-07-15,http://en.wikipedia.org/wiki/Elmer_George
gerard,Bob,Gerard,British,1914-01-19,http://en.wikipedia.org/wiki/Bob_Gerard
gibson,Dick,Gibson,British,1918-04-16,http://en.wikipedia.org/wiki/Dick_Gibson
godia,Paco,Godia,Spanish,1921-03-21,http://en.wikipedia.org/wiki/Paco_Godia
gonzalez,José Froilán,González,Argentine,1922-10-05,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez
allison,Cliff,Allison,British,1932-02-08,http://en.wikipedia.org/wiki/Cliff_Allison
george_amick,George,Amick,American,1924-10-24,http://en.wikipedia.org/wiki/George_Amick
barth,Edgar,Barth,German,1917-01-26,http://en.wikipedia.org/wiki/Edgar_Barth
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
bisch,Art,Bisch,American,1926-11-10,http://en.wikipedia.org/wiki/Art_Bisch
bonnier,Jo,Bonnier,Swedish,1930-01-31,http://en.wikipedia.org/wiki/Joakim_Bonnier
boyd,Johnny,Boyd,American,1926-08-19,http://en.wikipedia.org/wiki/Johnny_Boyd
jack_brabham,Jack,Brabham,Australian,1926-04-02,http://en.wikipedia.org/wiki/Jack_Brabham
bridger,Tom,Bridger,British,1934-06-24,http://en.wikipedia.org/wiki/Tom_Bridger
brooks,Tony,Brooks,British,1932-02-25,http://en.wikipedia.org/wiki/Tony_Brooks
bryan,Jimmy,Bryan,American,1926-01-28,http://en.wikipedia.org/wiki/Jimmy_Bryan
bueb,Ivor,Bueb,British,1923-06-06,http://en.wikipedia.org/wiki/Ivor_Bueb
burgess,Ian,Burgess,British,1930-07-06,http://en.wikipedia.org/wiki/Ian_Burgess
cabianca,Giulio,Cabianca,Italian,1923-02-19,http://en.wikipedia.org/wiki/Giulio_Cabianca
cheesbourg,Bill,Cheesbourg,American,1927-06-12,http://en.wikipedia.org/wiki/Bill_Cheesbourg
chiron,Louis,Chiron,Monegasque,1899-08-03,http://en.wikipedia.org/wiki/Louis_Chiron
christie,Bob,Christie,American,1924-04-04,http://en.wikipedia.org/wiki/Bob_Christie_(racing_driver)
collins,Peter,Collins,British,1931-11-06,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
beaufort,Carel Godin,de Beaufort,Dutch,1934-04-10,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort
filippis,Maria,de Filippis,Italian,1926-11-11,http://en.wikipedia.org/wiki/Maria_Teresa_de_Filippis
ecclestone,Bernie,Ecclestone,British,1930-10-28,http://en.wikipedia.org/wiki/Bernie_Ecclestone
elisian,Ed,Elisian,American,1926-12-09,http://en.wikipedia.org/wiki/Ed_Elisian
emery,Paul,Emery,British,1916-11-12,http://en.wikipedia.org/wiki/Paul_Emery
fairman,Jack,Fairman,British,1913-03-15,http://en.wikipedia.org/wiki/Jack_Fairman
fangio,Juan,Fangio,Argentine,1911-06-24,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
flockhart,Ron,Flockhart,British,1923-06-16,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing)
foyt,Anthony,Foyt,American,1935-01-16,http://en.wikipedia.org/wiki/A.J._Foyt
freeland,Don,Freeland,American,1925-03-25,http://en.wikipedia.org/wiki/Don_Freeland
garrett,Billy,Garrett,American,1933-04-24,http://en.wikipedia.org/wiki/Billy_Garrett
allison,Cliff,Allison,British,1932-02-08,http://en.wikipedia.org/wiki/Cliff_Allison
amick,Red,Amick,American,1929-01-19,http://en.wikipedia.org/wiki/Red_Amick
arnold,Chuck,Arnold,American,1926-05-30,http://en.wikipedia.org/wiki/Chuck_Arnold
ashdown,Peter,Ashdown,British,1934-10-16,http://en.wikipedia.org/wiki/Peter_Ashdown
behra,Jean,Behra,French,1921-02-16,http://en.wikipedia.org/wiki/Jean_Behra
bettenhausen,Tony,Bettenhausen,American,1916-09-12,http://en.wikipedia.org/wiki/Tony_Bettenhausen
